team,wins,losses
Vancouver Titans,25,3
San Francisco Shock,23,5
New York Excelsior,22,6
Hangzhou Spark,18,10
Los Angeles Gladiators,17,11
Atlanta Reign,16,12
London Spitfire,16,12
Seoul Dynasty,15,13
Guangzhou Charge,15,13
Philadelphia Fusion,15,13
Shanghai Dragons,13,15
Chengdu Hunters,13,15
Los Angeles Valiant,12,16
Paris Eternal,11,17
Dallas Fuel,10,18
Houston Outlaws,9,19
Toronto Defiant,8,20
Washington Justice,8,20
Boston Uprising,8,20
Florida Mayhem,6,22
